section, item,
Neuroradiology,Art eriovenous  malformations,
Neuroradiology,Paraganglioma,
Neuroradiology,Lipoma/ liposarcoma,
Neuroradiology,Cystic  lesions  of  the  head  and  neck,
Neuroradiology,Branchial cleft cysts  (types I-IV),
Neuroradiology,Thyroglossal duct cyst,
Neuroradiology,Ranula,
Neuroradiology,Dermoid/epidermoid,
Neuroradiology,Thymic cyst,
Neuroradiology,Cystic hygroma (lymphangioma),
Neuroradiology,Laryngopyocele,
Neuroradiology,Cystic lymph nodes,
Neuroradiology,Trauma,
Neuroradiology,Orbital f ractures,
Neuroradiology,Soft tissue injuries of the globe and orbit,
Neuroradiology,Maxillofacial fracture,
Neuroradiology,Mandibular fractures,
Neuroradiology,Temporomandibular joint (TMJ) fracture/dislocation,
Neuroradiology,Skull base fractures,
Neuroradiology,Temporal bone fractures (including classif ication systems),
Neuroradiology,Longitudinal/t ransverse,
Neuroradiology,Otic capsule spared/involved,
Neuroradiology,Laryngeal fract ures,
Neuroradiology,Vascular,
Neuroradiology,Orbit,
Neuroradiology,Venous varix,
Neuroradiology,Hemangiomas,
Neuroradiology,Lymphangioma,
Neuroradiology,Superior ophthalmic vein thrombosis,
Neuroradiology,Carotid-cavernous  fistula,
Neuroradiology,Sinonasal  cavity/facial  bones,
Neuroradiology,Skull base/temporal  bone,
Neuroradiology,Dissection,
Neuroradiology,Aneurysm,
Neuroradiology,Pseudoaneurysm,
Neuroradiology,Aberrant internal carotid artery,
Neuroradiology,Persistent stapedial artery,
Neuroradiology,Jugular dehiscence,
Neuroradiology,Jugular diverticulum,
Neuroradiology,High-riding jugular bulb,
Neuroradiology,Oral cavity pharynx supra- and  infrahyoid neck,
Neuroradiology,Medial course of  internal carotid artery,
Neuroradiology,Dissection,
Neuroradiology,Thrombosis,
Neuroradiology,Occlusion,
Neuroradiology,Pseudoaneurysm,
Neuroradiology,Fibromuscular dysplasia,
Neuroradiology,Aneurysm,
Neuroradiology,Congenital,
Neuroradiology,Orbit,
Neuroradiology,Sphenoid wing dysplasia,
Neuroradiology,Septoopt ic dysplasia,
Neuroradiology,Coloboma,
Neuroradiology,Congenital glaucoma,
Neuroradiology,Persistent hyperplastic primary vitreous (PHPV),
Neuroradiology,Coats disease,
Neuroradiology,Toxocariasis,
Neuroradiology,Infantile hemangiomas,
Neuroradiology,Lymphatic malformation,
Neuroradiology,Dermoid,
Neuroradiology,Sinonasal cavity/facial bones,
Neuroradiology,Hypoplasia,
Neuroradiology,Aplasia,
Neuroradiology,Down syndrome,
Neuroradiology,Kart agener syndrome,
Neuroradiology,Cephaloceles/nasal glioma,
Neuroradiology,Choanal at resia,
Neuroradiology,Skull base/temporal  bone,
Neuroradiology,Cephaloceles,
Neuroradiology,Arachnoid cyst,
Neuroradiology,External auditory canal atresia,
Neuroradiology,Aberrant facial  nerve course,
Neuroradiology,Congenital cholesteatoma,
Neuroradiology,Ossicular deformities,
Neuroradiology,Large vestibular aqueduct syndrome,
Neuroradiology,Mondini defect,
Neuroradiology,Michel aplasia,
Neuroradiology,Oral cavity pharynx and  supra- and  infrahyoid neck,
Neuroradiology,Branchial cleft cysts (types I-IV),
Neuroradiology,Thyroglossal duct cyst,
Neuroradiology,Lingual thyroid,
Neuroradiology,Dermoid/epidermoid,
Neuroradiology,Thymic cyst,
Neuroradiology,Vasoformative  lesions,
Neuroradiology,Infantile hemangiomas,
Neuroradiology,Lymphatic/venous  malformations,
Neuroradiology,Arteriovenous  malformat ions,
Nuclear Radiology,Breast,
Nuclear Radiology,Benign neoplasm,
Nuclear Radiology,Radiopharmaceuticals:  18F  FDG,
Nuclear Radiology,Imaging techniques: PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: breast lesion,
Nuclear Radiology,Malignant neoplasm primary,
Nuclear Radiology,Radiopharmaceuticals:  18F   FDG,
Nuclear Radiology,Imaging techniques: PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: breast lesion,
Nuclear Radiology,Malignant neoplasm metastatic,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; 18 F  FDG and  18F  NaF,
Nuclear Radiology,Imaging techniques:  planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: staging disease and treat ment strategy,
Nuclear Radiology,Lymphatic mapping/sentinel lymph node (SLN),
Nuclear Radiology,Radiopharmaceuticals:  99mTc sulfur colloid,
Nuclear Radiology,Injection techniques: intradermal  peritumoral and  periareolar,
Nuclear Radiology,Imaging and  localization techniques: planar SPECT and/or SPECT-CT and intraoperative gamma probe,
Nuclear Radiology,Typical indicat ions: identification and  localization of SLN for intraoperative gamma probe-directed sampling,
Nuclear Radiology,Infection and  inflammation,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate 111In/99mTc WBCs; 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: breast abscess and  inf lammation,
Nuclear Radiology,Normal and  other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging techniques: all of  above,
Nuclear Radiology,Typical indicat ions: all of  above,
Nuclear Radiology,artifacts and quality control,
Nuclear Radiology,Patient Issues: preparation motion positioning and  contamination,
Nuclear Radiology,Radiopharmaceutical  issues: preparation administration technique and altered biodistribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing transmission imaging and  quantification (SUV),
Nuclear Radiology,Cardiac,
Nuclear Radiology,Perfusion imaging coronary artery disease,
Nuclear Radiology,Radiopharmaceuticals:  99mTc sestamibi/tet rofosmin  201Tl chloride; 13 N NH3 (ammonia) and 82Rb chloride,
Nuclear Radiology,Stress protocols: exercise pharmacologic  (regadenoson [Lexiscan] and dobutamine),
Nuclear Radiology,Imaging techniques: SPECT  ECG-gated SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Quantitative analysis:  left ventricular eject ion fraction (LVEF) systolic function diastolic function summed stress score (SSS) and transient ischemic dilatation (T ID),
Nuclear Radiology,Typical indicat ions: perfusion function and  wall motion; ischemia vs infarction and risk strat ification,
Nuclear Radiology,Perfusion imaging non-coronary artery disease,
Nuclear Radiology,Radiopharmaceuticals:  99mTc sestamibi/tet rofosmin  201Tl chloride; 13 N NH3 (ammonia) 82 Rb chloride,
Nuclear Radiology,Stress protocols: exercise pharmacologic  (regadenoson [Lexiscan] and dobutamine),
Nuclear Radiology,Imaging techniques: SPECT  ECG-gated SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Quantitative analysis: left ventricular ejection fraction (LVEF) systolic function diastolic funct ion summed stress score (SSS) transient ischemic dilatation (T ID),
Nuclear Radiology,Typical indicat ions: perfusion function and  wall motion; cardiomyopathy,
Nuclear Radiology,Metabolism and viability,
Nuclear Radiology,Radiopharmaceuticals:  201Tl chloride; 18F  FDG,
Nuclear Radiology,Imaging techniques:  SPECT ECG-gated SPECT and/or SPECT/CT; PET and  PET/CT,
Nuclear Radiology,Typical Indicat ions:  hibernating/viable  myocardium; pre-operative evaluation,
Nuclear Radiology,Function: multigated acquisition (MUGA) and first-pass studies,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  RBCs and 99mTc  DTPA,
Nuclear Radiology,Imaging techniques: ECG-gated planar; ECG-gated SPECT,
Nuclear Radiology,Quantitative analysis:   left ventricular ej ection fraction (LVEF) right ventricular ejection fraction (RVEF),
Nuclear Radiology,Typical indicat ions: baseline function cardiotoxicity after chemotherapy,
Nuclear Radiology,Shunts,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  MAA,
Nuclear Radiology,Imaging techniques: planar SPECT,
Nuclear Radiology,Quantitative analysis: quantification of shunt,
Nuclear Radiology,Typical indicat ions: right-to-left shunt,
Nuclear Radiology,Infection and  inflammation,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate 111In/99mTc WBCs; 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: pericardit is/ myocardit is myocardial/valv ular abscess  and sarcoidosis,
Nuclear Radiology,Normal and  other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging techniques: all of  above,
Nuclear Radiology,Typical indicat ions: all of  above,
Nuclear Radiology,artifacts and quality control,
Nuclear Radiology,Patient issues: preparation  motion positioning and  contamination; arrhythmia,
Nuclear Radiology,Radiopharmaceutical  issues:  preparation administration technique and timing and altered biodist ribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing attenuation- correction ECG-gating and  quantification (LVEF  RVEF ED and  ES function SSS and T ID),
Nuclear Radiology,Gastrointestinal  (GI),
Nuclear Radiology,Liver and  spleen,
Nuclear Radiology,Radiopharmaceuticals:  99mTc sulfur colloid 99mTc MAA 99mTc  RBCs damaged 99mTc RBCs,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: cirrhosis hepatic arterial perfusion/systemic  shunting before radioembolization cavernous hemangioma and  accessory spleen/splenosis,
Nuclear Radiology,Biliary,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  IDA analogs,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Pharmacologic protocols: morphine sulfate and  sincalide (CCK),
Nuclear Radiology,Quantitative analysis: gallbladder ejection fraction (GBEF),
Nuclear Radiology,Typical indicat ions: acute cholecystitis chronic acalculous cholecystit is common bile duct obstruction biliary ectasia bile  leak and  postoperative complications,
Nuclear Radiology,Bowel:  GI bleeding,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  RBCs and 99mTc pertechnetate,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: active GI bleeding site and varices; Meckel diverticulum,
Nuclear Radiology,Bowel:  GI motility,
Nuclear Radiology,Radiopharmaceuticals:  99mTc sulfur colloid as solid  meal (e.g. eggs)/as liquid  meal,
Nuclear Radiology,Imaging techniques: planar,
Nuclear Radiology,Quantitative analysis: T  ½ 4-hour retained activity and geomet ric mean met hodology,
Nuclear Radiology,Typical indicat ions: gastroparesis gast roeso phageal reflux and aspiration,
Nuclear Radiology,Benign neoplasm,
Nuclear Radiology,Radiopharmaceuticals:  99mTc sulfur colloid 99mTc  IDA; 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: liver mass (e.g. fibronodular hyperplasia),
Nuclear Radiology,Malignant neoplasm primary,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate; 18 F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: hepatocellular cancer (HCC) GI stromal tumor lymphoma and eso phageal/ gast ric/ biliary/ pancreat ic/ colo rectal/ perito neal    cancer,
Nuclear Radiology,Malignant neoplasm metastatic 18,
Nuclear Radiology,Radiopharmaceuticals:             F  FDG,
Nuclear Radiology,Imaging techniques: PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: staging disease and treat ment strategy,
Nuclear Radiology,Infection and  inflammation,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate 111In/99mTc WBCs; 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: abscess and  inflammatory  bowel disease,
Nuclear Radiology,Normal and other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging techniques: all of  above,
Nuclear Radiology,Typical indicat ions: all of  above,
Nuclear Radiology,artifacts and quality control,
Nuclear Radiology,Patient issues: preparation  motion positioning and  contamination,
Nuclear Radiology,Radiopharmaceutical  issues: preparation administration technique and altered biodistribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing pharmaceutical infusion  protocols and quantification (GBEF T ½; SUV),
Nuclear Radiology,Musculoskeletal,
Nuclear Radiology,Benign neoplasm,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; 18 F  NaF 18 F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: radiographically visible or occult lesions e.g. osteoid osteoma,
Nuclear Radiology,Malignant neoplasm primary,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; 18 F  NaF 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and PET-CT,
Nuclear Radiology,Typical indicat ions: osteosarcoma  Ewing sarcoma multiple myeloma  and lymphoma,
Nuclear Radiology,Malignant neoplasm metastatic,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/M DP; 18 F  NaF 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: staging disease treat ment strategies,
Nuclear Radiology,Therapy,
Nuclear Radiology,Radiopharmaceuticals:  153Sm  lexidronam pentasodium 89Sr chloride,
Nuclear Radiology,Patient issues: selection preparation informed consent understanding and calculation of administered activity counseling of patients and families on radiation safety issues release criteria and follow-up,
Nuclear Radiology,Typical indicat ions: painful skeletal metastases,
Nuclear Radiology,Tumor-like conditions,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; F-18 NaF F-18  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: fibrous dysplasia Paget disease,
Nuclear Radiology,Metabolic &amp; vascular abnormalities,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/M DP 99mTc sulfur colloid; 18 F  NaF 18 F  FDG,
Nuclear Radiology,Imaging techniques: three-phase planar SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Typical indications: hyperparathyroidism  “Superscan” (renal osteodystrophy myelofibrosis) avascular necrosis complex regional pain syndrome and hypertrophic arthropathy,
Nuclear Radiology,Trauma,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP,
Nuclear Radiology,Imaging techniques:  planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: stress/ insufficiency  fracture occult fracture nonaccidental trauma and  heteroto pic  bone formation,
Nuclear Radiology,Infection &amp;  Inflammat ion,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate 111In/99mTc WBCs 99mTc sulfur colloid; 18F  FDG,
Nuclear Radiology,Imaging techniques:  t hree-phase dual-t racer; planar SPECT and/or SPECT/CT; PET and  PET/CT,
Nuclear Radiology,Typical indicat ions:  osteomyelitis cellulitis synovitis/arthritis septic joint hardware infection,
Nuclear Radiology,Extraskeletal processes,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical findings: benign (e.g. lung in  hypercalcemia  myocardial infarctio n/ myocardit is/ pericarditis  and  cardiac amyloidosis) vs malignant (e.g. breast carcinoma primary liver metastases from colon  cancer pleural effusion in lung cancer and  peritoneal ovarian carcinomatosis); and  renal anomalies,
Nuclear Radiology,Bone mineral density (BMD) (dual-energy x-ray absorptiometry  DEXA),
Nuclear Radiology,Imaging techniques: DEXA,
Nuclear Radiology,Quantitative analysis and  pitfalls: T-score Z-score region-of-interest (ROI) selection artifacts,
Nuclear Radiology,Typical indicat ions: osteoporosis vs osteopenia fracture risk assessment and  serial evaluations to evaluate effects of  medicat ion,
Nuclear Radiology,Normal and other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging techniques: all of  above,
Nuclear Radiology,Typical indicat ions: all of  above,
Nuclear Radiology,artifacts and quality control,
Nuclear Radiology,Patient issues: preparation  motion positioning and  contamination,
Nuclear Radiology,Radiopharmaceutical  issues: preparation administration technique and altered biodistribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing quantif ication (SUV; T- score Z-score),
Nuclear Radiology,Neurology,
Nuclear Radiology,Brain death,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  ECD/H MPAO and 99mTc  DTPA,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: confirmation of  clinical brain death,
Nuclear Radiology,Stroke cerebrovascular disease and vascular reserve,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  ECD/H MPAO; 18F FDG,
Nuclear Radiology,Imaging techniques: SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Stress protocols: Wada test acetazolamide (Diamox) challenge and balloon occlusion,
Nuclear Radiology,Typical indicat ions: ischemia vs infarct and vascular reserve,
Nuclear Radiology,Cerebrospinal fluid  (CSF),
Nuclear Radiology,Radiopharmaceuticals:  111In/99mTc DTPA,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: normal pressure hydrocephalus leak and V-P shunt  patency,
Nuclear Radiology,Dementias behavioral disorders and  movement disorders,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  ECD/HMPAO 123 I DaTscan; 18 F  FDG 18F amyloid agents,
Nuclear Radiology,Imaging techniques: SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: Alzheimer disease Lewy body-associated frontotemporal  multi- infarct senile depression Parkinson disease,
Nuclear Radiology,Seizure,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  ECD/HMPAO; 18F  FDG,
Nuclear Radiology,Imaging techniques: SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Stress protocols: injection during active seizure and  interictal setting,
Nuclear Radiology,Typical indicat ions: localization of seizure focus and  interictal vs ictal protocols,
Nuclear Radiology,Benign neoplasm,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/M DP 111In pentet reotide (Oct reoScan) and  18F FDG,
Nuclear Radiology,Imaging techniques:  Planar SPECT and/or SPECT-CT; PET and  PET-CT),
Nuclear Radiology,Typical indicat ions: meningioma,
Nuclear Radiology,Malignant neoplasm primary,
Nuclear Radiology,Radiopharmaceuticals:  18F  FDG,
Nuclear Radiology,Imaging techniques: PET and/or PET-CT,
Nuclear Radiology,Typical indicat ions: glioblastoma astrocytoma and  lymphoma,
Nuclear Radiology,Malignant neoplasm metastatic,
Nuclear Radiology,Radiopharmaceuticals:  18F  FDG,
Nuclear Radiology,Imaging techniques: PET and  PET-CT,
Nuclear Radiology,Indications: staging disease treatment strategy and tumor viability,
Nuclear Radiology,Infection and  inflammation,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate 111In/99mTc WBCs; 18F  FDG,
Nuclear Radiology,Imaging techniques: SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: abscess encephalitis toxoplasmosis and  radionecrosis,
Nuclear Radiology,Normal and  other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging techniques: all of  above,
Nuclear Radiology,Typical indicat ions: all of  above,
Nuclear Radiology,Artifacts and quality control,
Nuclear Radiology,Patient issues: preparation  motion positioning and  contamination,
Nuclear Radiology,Radiopharmaceutical  issues: preparation administration technique and altered biodistribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing and quantification (SUV),
Nuclear Radiology,Pediatrics,
Nuclear Radiology,Brain and cerebrospinal fluid  (CSF),
Nuclear Radiology,Radiopharmaceuticals:  99mTc  ECD/H MPAO; 18F FDG; 111In/99mTc DTPA),
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: seizure neoplasm; V-P shunt patency and  hydrocephalus,
Nuclear Radiology,Cardiac,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  RBCs 99mTc sestamibi/tetrofosmin,
Nuclear Radiology,Imaging techniques: ECG-gated planar SPECT ECG-gated SPECT and/or SPECT-CT,
Nuclear Radiology,Quantitative analysis: left ventricular eject ion fraction (LV EF),
Nuclear Radiology,Typical indicat ions: congenital heart disease Kawasaki disease,
Nuclear Radiology,Thoracic,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  MAA 133Xe gas 99mTc DTPA aerosol,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: pulmonary artery atresia right-to-left shunt cyst ic fibrosis and Swyer-James syndrome,
Nuclear Radiology,GI and  hepatobiliary system,
Nuclear Radiology,Radiopharmaceuticals:  99mTc sulfur colloid 99mTc  IDA analog 99mTc pertechnetate,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Pharmacologic protocols: phenobarbital H2 blockers (e.g. cimetidine),
Nuclear Radiology,Quantitative analysis: gastric emptying T ½ and gallbladder ejection f raction (GBEF),
Nuclear Radiology,Typical indicat ions: aspiration gast roesophageal  reflux gastric emptying biliary atresia and  Meckel diverticulum,
Nuclear Radiology,Musculoskeletal,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; 18 F  NaF and  18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: osteoid osteoma fract ure avascular necrosis osteomyelitis nonaccidental trauma and  metastases,
Nuclear Radiology,Endocrine,
Nuclear Radiology,Radiopharmaceuticals:  123 I  NaI 99mTc pert echnetate; 131I NaI,
Nuclear Radiology,Imaging techniques :  planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: hypothyroidism (lingual thyroid agenesis organif ication defect ) hyperthyroidism thyroid cancer and  radioiodine therapy,
Nuclear Radiology,Infection and  inflammation,
Nuclear Radiology,Radiopharmaceuticals:  67Ga citrate 111In/99mTc WBCs; 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: osteo myelitis/septic joint lung inflammation inflammatory bowel disease and abscess,
Nuclear Radiology,Neoplasm,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/M DP 123 I MIBG 111In pentet reotide (OctreoScan); 18 F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical Indicat ions: Osteosarcoma/ Ewing sarcoma histiocytosis/eosinophilic granulo ma neuro blastoma  lymphoma and  hepatic tumors,
Nuclear Radiology,Urinary Tract,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  DMSA 99mTc  DTPA 99mTc MAG3 and 99m  Tc sulfur colloid,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Pharmacologic protocols: diuretics (e.g. furosemide),
Nuclear Radiology,Quantitative analysis:  relative renal function response to diuret ic challenge,
Nuclear Radiology,Typical indicat ions: congenital anomalies ectopia multicystic dysplastic kidney horseshoe  kidney pyelonephritis  hypertension hydronephrosis and vesicoureteral reflux,
Nuclear Radiology,Normal and  other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging Techniques: all of  above,
Nuclear Radiology,Typical Indicat ions: all of  above,
Nuclear Radiology,Artifacts and quality control,
Nuclear Radiology,Patient issues: preparation  motion positioning and  contamination; dosimet ry,
Nuclear Radiology,Radiopharmaceutical  issues: preparation administration technique and altered biodistribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing and quantification (T ½ GBEF and SUV),
Nuclear Radiology,Reprod uctive/ Endocrine,
Nuclear Radiology,Thyroid gland,
Nuclear Radiology,Radiopharmaceuticals:  123 I  NaI 99mTc pertechnetate,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Quantitative techniques:  uptake probe (24-hour radioiodine uptake),
Nuclear Radiology,Typical indicat ions: goiter (in situ substernal) benign thyroid nodules multinodular gland and  hyperthyroidism (Graves disease thyroiditis and toxic nodules),
Nuclear Radiology,Thyroid  cancer,
Nuclear Radiology,Radiopharmaceuticals:  123 I/131I  NaI 111In  pentetreotide (OctreoScan) and; 18F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: thyroid bed remnant and staging locoregional disease/distant met astases for papillary and follicular and medullary cancers,
Nuclear Radiology,Therapy,
Nuclear Radiology,Radiopharmaceuticals:  131I  NaI calculation of  administered activity (benign vs malignant conditions),
Nuclear Radiology,Patient issues: selection preparation informed consent understanding and calculation of administered activity counseling of patients and families on radiation safety issues release criteria and follow-up; pregnancy,
Nuclear Radiology,Typical indicat ions: benign (hyperthyroidism)  malignant (thyroid cancer remnant vs metastases),
Nuclear Radiology,Adrenal,
Nuclear Radiology,Radiopharmaceuticals:  123 I  MIBG 111In pentet reotide  (OctreoScan),
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: pheochro mocyto ma  cortical adenoma,
Nuclear Radiology,Neuroendocrine,
Nuclear Radiology,Radiopharmaceuticals:  111In  pentet reotide  (OctreoScan),
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: carcinoid islet  cell tumors medullary thyroid cancer and pheochromocytoma/paraganglioma/neuroblastoma,
Nuclear Radiology,Parathyroid gland 99m                    99m                                 123,
Nuclear Radiology,Radiopharmaceuticals:                Tc sestamibi          Tc pertechnetate and              I NaI,
Nuclear Radiology,Imaging techniques: dual-phase dual-tracer planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical Indicat ions: hyperparathyroidism  (adenoma hyperplasia and  ectopic),
Nuclear Radiology,Female reproductive system neoplasms,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; 18 F  NaF and  18F  FDG,
Nuclear Radiology,Imaging techniques: Planar SPECT and/or SPECT-CT;  PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: Staging disease treat ment strategy,
Nuclear Radiology,Male reproductive system neoplasms,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  HDP/ MDP; 18 F  NaF 18 F  FDG,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT; PET and  PET-CT,
Nuclear Radiology,Typical indicat ions: staging disease treat ment strategy,
Nuclear Radiology,Normal and  other,
Nuclear Radiology,Radiopharmaceuticals:  all of  above,
Nuclear Radiology,Imaging techniques: all of  above,
Nuclear Radiology,Typical indicat ions: all of  above,
Nuclear Radiology,artifacts and quality control,
Nuclear Radiology,Patient issues: preparation  motion positioning and  contamination,
Nuclear Radiology,Radiopharmaceutical  issues: preparation administration technique and altered biodistribution,
Nuclear Radiology,Technical issues: instrumentation  acquisit ion and  processing and quantification (24-hour uptake SUV),
Nuclear Radiology,THORACIC,
Nuclear Radiology,Ventilation/ perfusion  t hromboembolic  disease,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  MAA 133Xe gas and 99mTc  DTPA aerosol,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Typical indicat ions: acute or chronic pulmonary embolism and  pulmonary hypertension,
Nuclear Radiology,Ventilation/perf usion  nont hro mboembolic disease,
Nuclear Radiology,Radiopharmaceuticals:  99mTc  MAA 133Xe gas and 99mTc  DTPA aerosol,
Nuclear Radiology,Imaging techniques: planar SPECT and/or SPECT-CT,
Nuclear Radiology,Quantitative techniques: regional/split (differential) lung function,
Nuclear Radiology,Typical indicat ions: fat emboli hilar mass vasculitis prepulmo nectomy  and pulmonary transplant evaluation and pulmonary  hypertension,
